Statistic,Mean,ESS,Type
joint,-32407.255,455,R
prior,-4083.393,338,R
likelihood,-28323.862,403,R
treeModel.rootHeight,6.66,5610,R
age(root),2017.282,5610,R
treeLength,358.042,338,R
expansion.popSize,41.679,843,R
expansion.growthRate,0.482,2631,R
expansion.ancestralProportion,1.53E-02,13119,R
CP1+2.kappa,9.725,19046,R
CP3.kappa,10.395,18568,R
frequencies1,0.362,19136,R
frequencies2,0.186,19244,R
frequencies3,0.182,19419,R
frequencies4,0.269,18656,R
CP1+2.alpha,0.281,19419,R
CP3.alpha,0.56,19196,R
CP1+2.nu,0.556,19128,R
CP3.nu,0.444,19128,R
CP1+2.mu,0.834,19128,R
CP3.mu,1.332,19128,R
clock.rate,5.82E-03,1073,R
meanRate,5.82E-03,1073,R
treeLikelihood,-28323.862,403,R
branchRates,0.00E+00,-,*
coalescent,-4071.771,338,R
