"","Point est.","Upper C.I."
"joint",1.00497174149407,1.00562520637613
"prior",1.00389960504117,1.00803557612614
"likelihood",1.00162181191878,1.00352869681899
"treeModel.rootHeight",1.00231311049743,1.01109634514606
"age.root.",1.00231311054057,1.01109634518962
"treeLength",1.00419848151051,1.00789716054918
"expansion.popSize",0.99987057727607,1.00026610404271
"expansion.growthRate",0.999789503362693,0.999902670923002
"expansion.ancestralProportion",1.00310535191383,1.01074197139743
"CP1.2.kappa",1.00003952894992,1.00118454771732
"CP3.kappa",0.999891192128432,1.00010178076358
"frequencies1",0.999848564529549,0.999987457794932
"frequencies2",1.00300884360337,1.01249936058931
"frequencies3",1.00137644903528,1.0015436251095
"frequencies4",1.00157210452641,1.0087689641575
"CP1.2.alpha",1.00062233062183,1.00135398893353
"CP3.alpha",0.999973290116086,1.00044514855396
"CP1.2.nu",1.00073821012779,1.00467304631789
"CP3.nu",1.00073821012783,1.0046730463181
"CP1.2.mu",1.00073821012779,1.0046730463179
"CP3.mu",1.00073821012783,1.0046730463181
"clock.rate",1.00311040849383,1.01319886509614
"meanRate",1.00311040849383,1.01319886509613
"treeLikelihood",1.00162181191878,1.00352869681899
"coalescent",1.00394953063814,1.00810763517177
