	location
EPI_ISL_854595|H5N8|a/chicken/chiba/b2t/2021|2021-01-10|2021.025	Asia
EPI_ISL_17606843|H5N1|a/chicken/korea/h63/2022|2022-01-24|2022.063	Asia
EPI_ISL_15586109|H5N1|a/domestic_duck/england/128223/2022|2022-10-06|2022.762	Europe
EPI_ISL_16023372|H5N1|a/skunk/ab/fav-0897-01/2022|2022-06-28|2022.488	North America
EPI_ISL_13453562|H5N1|a/barnacle_goose/scotland/072140/2021|2021-12-13|2021.948	Europe
EPI_ISL_15077371|H5N1|a/chicken/idaho/22-011347-004-original/2022|2022-04-14|2022.282	North America
EPI_ISL_17051360|H5N1|a/canada_goose/bc/aivphl-176/2022|2022-06-13|2022.447	North America
EPI_ISL_6328001|H5N1|a/greylag_goose/netherlands/21037497-001/2021|2021-10-19|2021.797	Europe
EPI_ISL_16240635|H5N1|a/fox/michigan/22-014536-002-original/2022|2022-04-22|2022.304	North America
EPI_ISL_977582|H5N8|a/duck/northern_china/zgl/2020(h5n8)|2020-12-29|2020.992	Asia
EPI_ISL_18132372|H5N1|a/red-tailed_hawk/minnesota/usda-011871-013/2022|2022-04-15|2022.285	North America
EPI_ISL_18310961|H5N1|a/backyard_chicken/uruguay/udelar-144-m3/2023|2023-05-03|2023.334	South America
EPI_ISL_18472671|H5N1|a/white-naped_crane/kagoshima/ku-111/2022_(h5n1)|2022-11-22|2022.89	Asia
EPI_ISL_14551957|H5N1|a/fox/new_york/088592/2022|2022-04-25|2022.312	North America
EPI_ISL_710438|H5N8|a/chicken/miyazaki/1t/2020|2020-11-30|2020.913	Asia
EPI_ISL_18245341|H5N1|a/white-fronted_goose/korea/22wc328/2023|2023-01-02|2023.003	Asia
EPI_ISL_17414626|H5N1|a/chicken/nigeria/064_22vir3286-55/2022|2022-01-21|2022.055	Africa
EPI_ISL_14918892|H5N1|a/chicken/south_africa/683320/2021_(h5n1)|2021-06-30|2021.493	Africa
EPI_ISL_16022233|H5N1|a/red_fox/sk/fav-0548-03/2022|2022-05-19|2022.378	North America
EPI_ISL_17679783|H5N1|a/turkey/italy/22vir12938-3/2022|2022-12-22|2022.973	Europe
EPI_ISL_17787584|H5N1|a/common_buzzard/sweden/sva230525sz0468/fb001790/ab-2023|2023-05-25|2023.395	Europe
EPI_ISL_18033139|H5N1|a/domestic_duck/poland/h439/2022|2022-12-19|2022.964	Europe
EPI_ISL_16171511|H5N1|a/turkey/south_dakota/22-013454-002-original/2022|2022-04-30|2022.326	North America
EPI_ISL_644128|H5N8|a/goose/omsk/0114/2020|2020-08-17|2020.626	Europe
EPI_ISL_7753329|H5N1|a/white_stork/germany-mv/ai05979/2021|2021-10-20|2021.8	Europe
EPI_ISL_9616212|H5N1|a/red_knot/netherlands/22000409-002/2022|2022-01-06|2022.014	Europe
EPI_ISL_18593867|H5N1|a/chicken/netherlands/23025768-001005/2023|2023-12-01|2023.915	Europe
EPI_ISL_18133354|H5N1|a/common_loon/florida/usda-009801-001/2022|2022-03-31|2022.244	North America
EPI_ISL_18132433|H5N1|a/red-tailed_hawk/iowa/usda-011298-001/2022|2022-04-13|2022.279	North America
EPI_ISL_16098026|H5N1|a/common_tern/germany-ni/ai04284/2022|2022-07-14|2022.532	Europe
EPI_ISL_8515478|H5N1|a/goose/czech_republic/22608-1/2021|2021-11-18|2021.879	Europe
