Statistic,Mean,ESS,Type
joint,-5571.041,4289,R
prior,-777.179,2872,R
likelihood,-4793.862,8671,R
treeModel.rootHeight,10.442,2270,R
age(root),2012.106,2270,R
treeLength,70.003,1956,R
skygrid.precision,1.144,6747,R
skygrid.logPopSize1,-0.26,7460,R
skygrid.logPopSize2,1.284,7849,R
skygrid.logPopSize3,1.67,8907,R
skygrid.logPopSize4,1.719,9001,R
skygrid.logPopSize5,2.214,7122,R
skygrid.logPopSize6,1.311,7430,R
skygrid.logPopSize7,1.956,5975,R
skygrid.logPopSize8,2.44,4658,R
skygrid.logPopSize9,1.173,3036,R
skygrid.logPopSize10,-0.105,6053,R
skygrid.cutOff,10,-,*
kappa,9.131,9001,R
frequencies1,0.323,8792,R
frequencies2,0.202,9001,R
frequencies3,0.262,8440,R
frequencies4,0.213,8792,R
alpha,0.228,8944,R
ucld.mean,4.13E-03,2663,R
ucld.stdev,4.97E-04,6347,R
meanRate,4.13E-03,2610,R
coefficientOfVariation,0.118,6790,R
covariance,-9.89E-03,9001,R
treeLikelihood,-4793.862,8671,R
branchRates,-621.06,-,*
skygrid,-148.616,2855,R
