"","Point est.","Upper C.I."
"joint",1.001,1.004
"prior",1.001,1.005
"likelihood",1,1
"treeModel.rootHeight",1.002,1.006
"age.root.",1.002,1.006
"treeLength",1.001,1.004
"skygrid.precision",1.287,1.305
"skygrid.logPopSize1",1.001,1.002
"skygrid.logPopSize2",1,1
"skygrid.logPopSize3",1,1
"skygrid.logPopSize4",1.002,1.002
"skygrid.logPopSize5",1,1
"skygrid.logPopSize6",1,1.001
"skygrid.logPopSize7",1,1
"skygrid.logPopSize8",1.001,1.003
"skygrid.logPopSize9",1,1
"skygrid.logPopSize10",1,1
"kappa",1.001,1.002
"frequencies1",1,1.002
"frequencies2",1,1.002
"frequencies3",1,1.002
"frequencies4",1,1.001
"alpha",1,1
"ucld.mean",1.001,1.006
"ucld.stdev",1,1
"meanRate",1.001,1.006
"coefficientOfVariation",1,1
"covariance",1,1
"treeLikelihood",1,1
"skygrid",1.001,1.005
