Statistic,Mean,ESS,Type
joint,-2998.369,5881,R
prior,-731.426,5934,R
likelihood,-2266.942,13947,R
treeModel.rootHeight,9.818,8336,R
age(root),2012.73,8336,R
treeLength,44.044,5325,R
skygrid.precision,205.998,11870,R
skygrid.logPopSize1,0.477,7461,R
skygrid.logPopSize2,0.54,7799,R
skygrid.logPopSize3,0.617,11431,R
skygrid.logPopSize4,0.697,13125,R
skygrid.logPopSize5,0.749,13029,R
skygrid.logPopSize6,0.706,8197,R
skygrid.logPopSize7,0.686,6806,R
skygrid.logPopSize8,0.671,8399,R
skygrid.logPopSize9,0.628,10590,R
skygrid.logPopSize10,0.61,11676,R
skygrid.cutOff,10,-,*
kappa,7.225,18002,R
frequencies1,0.325,18002,R
frequencies2,0.199,17763,R
frequencies3,0.232,17967,R
frequencies4,0.244,17602,R
ucld.mean,4.20E-03,4710,R
ucld.stdev,2.36E-03,4521,R
meanRate,4.08E-03,5930,R
coefficientOfVariation,0.481,5353,R
covariance,-7.49E-03,18002,R
treeLikelihood,-2266.942,13947,R
branchRates,-621.06,-,*
skygrid,-98.548,6409,R
