"","Point est.","Upper C.I."
"joint",1.001,1.005
"prior",1.001,1.007
"likelihood",1,1
"treeModel.rootHeight",1,1.002
"age.root.",1,1.002
"treeLength",1.001,1.005
"skygrid.precision",1.003,1.003
"skygrid.logPopSize1",1,1.001
"skygrid.logPopSize2",1,1.001
"skygrid.logPopSize3",1.001,1.004
"skygrid.logPopSize4",1.003,1.008
"skygrid.logPopSize5",1.003,1.008
"skygrid.logPopSize6",1.002,1.013
"skygrid.logPopSize7",1.002,1.008
"skygrid.logPopSize8",1.001,1.004
"skygrid.logPopSize9",1.011,1.013
"skygrid.logPopSize10",1.002,1.003
"kappa",1,1
"frequencies1",1,1
"frequencies2",1,1
"frequencies3",1,1
"frequencies4",1,1
"ucld.mean",1.002,1.008
"ucld.stdev",1.01,1.013
"meanRate",1.001,1.006
"coefficientOfVariation",1.001,1.001
"covariance",1,1
"treeLikelihood",1,1
"skygrid",1.001,1.006
