Statistic,Mean,ESS,Type
joint,-7111.632,3279,R
prior,-773.662,2794,R
likelihood,-6337.97,14201,R
treeModel.rootHeight,10.722,4260,R
age(root),2011.826,4260,R
treeLength,67.453,2476,R
skygrid.precision,189.282,11732,R
skygrid.logPopSize1,1.112,4136,R
skygrid.logPopSize2,1.31,6278,R
skygrid.logPopSize3,1.335,5425,R
skygrid.logPopSize4,1.398,9148,R
skygrid.logPopSize5,1.446,10120,R
skygrid.logPopSize6,1.337,5823,R
skygrid.logPopSize7,1.334,4726,R
skygrid.logPopSize8,1.336,4735,R
skygrid.logPopSize9,1.223,5310,R
skygrid.logPopSize10,1.129,7596,R
skygrid.cutOff,10,-,*
kappa,10.222,17443,R
frequencies1,0.336,18002,R
frequencies2,0.197,18002,R
frequencies3,0.233,18002,R
frequencies4,0.234,17933,R
alpha,0.177,18002,R
ucld.mean,3.87E-03,2778,R
ucld.stdev,2.08E-03,3165,R
meanRate,3.63E-03,2810,R
coefficientOfVariation,0.51,4483,R
covariance,-4.29E-03,16964,R
treeLikelihood,-6337.97,14201,R
branchRates,-621.06,-,*
skygrid,-140.059,3115,R
