"","Point est.","Upper C.I."
"joint",1.002,1.01
"prior",1.002,1.01
"likelihood",1,1.002
"treeModel.rootHeight",1,1.001
"age.root.",1,1.001
"treeLength",1.002,1.011
"skygrid.precision",1.001,1.003
"skygrid.logPopSize1",1.004,1.017
"skygrid.logPopSize2",1.001,1.004
"skygrid.logPopSize3",1.001,1.003
"skygrid.logPopSize4",1,1.001
"skygrid.logPopSize5",1,1
"skygrid.logPopSize6",1.001,1.004
"skygrid.logPopSize7",1.001,1.006
"skygrid.logPopSize8",1.001,1.004
"skygrid.logPopSize9",1.001,1.003
"skygrid.logPopSize10",1.002,1.007
"kappa",1,1.001
"frequencies1",1,1
"frequencies2",1,1.001
"frequencies3",1,1.002
"frequencies4",1,1
"alpha",1.001,1.002
"ucld.mean",1.003,1.016
"ucld.stdev",1.003,1.016
"meanRate",1.002,1.013
"coefficientOfVariation",1.004,1.018
"covariance",1,1.002
"treeLikelihood",1,1.002
"skygrid",1.001,1.006
