traits	x	y
EPI_ISL_277382|H13N8|A/swan/East_China/SD588/2015(H13N8)|2015-12-26|2015.984	0.561540418	0.311266935
EPI_ISL_252219|H13N8|A/glaucous-winged_gull/Southcentral_Alaska/15MB02018/2015|2015-09-14|2015.701	-0.168303937	0.298593036
EPI_ISL_252217|H13N8|A/glaucous-winged_gull/Southcentral_Alaska/15MB02016/2015|2015-09-14|2015.701	-0.168303937	0.298593036
EPI_ISL_252199|H13N6|A/glaucous-winged_gull/Southcentral_Alaska/15MB01693/2015|2015-09-01|2015.666	-0.168303937	0.298593036
EPI_ISL_252213|H13N6|A/glaucous-winged_gull/Southcentral_Alaska/15MB01694/2015|2015-09-01|2015.666	-0.168303937	0.298593036
EPI_ISL_252198|H13N6|A/glaucous-winged_gull/Southcentral_Alaska/15MB01645/2015|2015-08-25|2015.647	-0.168303937	0.298593036
EPI_ISL_252216|H13N6|A/glaucous-winged_gull/Southcentral_Alaska/15MB01776/2015|2015-09-03|2015.671	-0.168303937	0.298593036
EPI_ISL_252207|H13N6|A/glaucous-winged_gull/Southcentral_Alaska/15MB01429/2015|2015-08-24|2015.644	-0.168303937	0.298593036
EPI_ISL_252197|H13N6|A/glaucous-winged_gull/Southcentral_Alaska/15MB01610/2015|2015-08-25|2015.647	-0.168303937	0.298593036
EPI_ISL_277410|H16N3|A/glaucous-winged_gull/Southcentral_Alaska/16MB02960/2016|2016-08-16|2016.623	-0.168303937	0.298593036
EPI_ISL_277414|H16N3|A/glaucous-winged_gull/Southcentral_Alaska/16MB00031/2016|2016-05-04|2016.339	-0.168303937	0.298593036
EPI_ISL_252208|H13N6|A/glaucous-winged_gull/Southcentral_Alaska/15MB01632/2015|2015-08-25|2015.647	-0.168303937	0.298593036
EPI_ISL_256303|H13N8|A/environment/Kamchatka/117/2016|2016-10-01|2016.749	0.091897977	0.341720793
EPI_ISL_381339|H13N8|A/Duck/China/Weihai/2017|2017-05-01|2017.329	0.588340285	0.266057694
EPI_ISL_308785|H13N8|A/black-tailed_gull/Weihai/17/2016|2016-12-28|2016.989	0.529649742	0.332447554
EPI_ISL_308784|H13N2|A/black-tailed_gull/Weihai/115/2016|2016-12-28|2016.989	0.529649742	0.332447554
EPI_ISL_267201|H16N3|A/black-headed_gull/Netherlands/1/2015|2015-01-27|2015.071	0.04492533	-0.455390197
EPI_ISL_399571|H16N3|A/Larus_argentatus/Belgium/U1610336_H907447/2016|2016-10-28|2016.822	0.03724103	-0.476387838
EPI_ISL_328978|H13N2|A/black-headed_gull/Netherlands/9/2016|2016-08-06|2016.596	0.04492533	-0.455390197
EPI_ISL_328984|H13N2|A/black-headed_gull/Netherlands/8/2016|2016-08-06|2016.596	0.04492533	-0.455390197
EPI_ISL_328988|H13N2|A/black-headed_gull/Netherlands/11/2016|2016-08-06|2016.596	0.04492533	-0.455390197
EPI_ISL_328990|H13N2|A/black-headed_gull/Netherlands/10/2016|2016-08-06|2016.596	0.04492533	-0.455390197
EPI_ISL_328983|H13N2|A/black-headed_gull/Netherlands/6/2016|2016-07-15|2016.536	0.04492533	-0.455390197
EPI_ISL_328980|H13N2|A/black-headed_gull/Netherlands/7/2016|2016-06-29|2016.492	0.04492533	-0.455390197
EPI_ISL_328989|H13N2|A/black-headed_gull/Netherlands/2/2016|2016-07-15|2016.536	0.04492533	-0.455390197
EPI_ISL_376203|H16N3|A/black-headed_Gull/Netherlands/5/2017|2017-07-03|2017.501	0.04492533	-0.455390197
EPI_ISL_9589378|H13N6|A/Glaucous-Winged_Gull/Alaska/20MB02831/2020|2020-09-04|2020.675	-0.114728746	0.286125529
EPI_ISL_9589507|H13N6|A/Glaucous-Winged_Gull/Alaska/20MB02836/2020|2020-09-04|2020.675	-0.114728746	0.286125529
EPI_ISL_9589574|H13N6|A/Glaucous-Winged_Gull/Alaska/20MB02534/2020|2020-08-10|2020.607	-0.114728746	0.286125529
EPI_ISL_9589576|H13N6|A/Glaucous-Winged_Gull/Alaska/20MB02820/2020|2020-09-04|2020.675	-0.114728746	0.286125529
EPI_ISL_9589438|H13N6|A/Glaucous-Winged_Gull/Alaska/20MB02698/2020|2020-08-21|2020.637	-0.114728746	0.286125529
