isolate_id,isolate_name,location,lat,lon
EPI_ISL_13902858,A/Eurasian Curlew/Netherlands/2/2022,"Europe / Netherlands / Den Oever, Waddenhaven",52.94347855,5.033864647
EPI_ISL_14494351,A/Larus_argentatus/Belgium/9013_0001/2022,Europe / Belgium / Provincie Oost-Vlaanderen / Gent,51.04858639,3.730905399
EPI_ISL_13519451,A/gull/France/22P015977/2022,Europe / France / Picardie / Departement de la Somme,49.95790417,2.276128843
EPI_ISL_13782459,A/chicken/England/085598/2022,Europe / United Kingdom / England,50.8545,0.4793
EPI_ISL_14494796,A/Vulpes_vulpes/Belgium/9031_0008/2022,Europe / Belgium / Provincie West-Vlaanderen / Knokke-Heist,51.35114773,3.291198136
EPI_ISL_14163714,A/European Herring Gull/Netherlands/9/2022,"Europe / Netherlands / Ijmuiden, Forteiland",52.46409569,4.580606967
EPI_ISL_14163712,A/European Herring Gull/Netherlands/8/2022,"Europe / Netherlands / Noordburen, Waddenkust",52.92089521,4.95999285
EPI_ISL_13778474,A/European Herring Gull/Netherlands/7/2022,"Europe / Netherlands / Walcheren, t Vroon Westkapelle",51.54126075,3.44470148
EPI_ISL_13778469,A/European Herring Gull/Netherlands/6/2022,"Europe / Netherlands / Walcheren, t Vroon Westkapelle",51.54126075,3.44470148
EPI_ISL_13778468,A/European Herring Gull/Netherlands/5/2022,"Europe / Netherlands / Walcheren, t Vroon Westkapelle",51.54126075,3.44470148
EPI_ISL_17606776,A/Larus_argentatus/Belgium/08182_0012/2022,Europe / Belgium / Provincie West-Vlaanderen / Sint-Idesbald,51.1110313,2.611554298
EPI_ISL_14864636,A/herring_gull/England/248639/2022,Europe / England,50.8829,0.6435
EPI_ISL_13782460,A/Herring_Gull/England/089636/2022,Europe / England,50.8814,0.6434
EPI_ISL_14864635,A/black-headed_gull/England/093296/2022,Europe / England,50.8668,-0.5452
EPI_ISL_14497836,A/chicken/England/098080/2022,Europe / England,50.4896,-3.7249
EPI_ISL_18059682,A/gull/South Korea/GNU54/2021,"Asia / Korea, Republic of",35.907757,127.766922
EPI_ISL_17373343,A/gull/USA/3_MNAI1172/2017,North America / United States,47.9837231,-95.02328466
EPI_ISL_15052970,A/gull/Shandong/W1359/2021,Asia / China / Shandong Province,36.066898,120.382698
