"","isolate_id","cluster_pb2","cluster_pb1","cluster_pa","cluster_ha","cluster_np","cluster_na","cluster_mp","cluster_ns","cluster_profile"
"1","EPI_ISL_405813",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"2","EPI_ISL_410291",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"3","EPI_ISL_418266",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"4","EPI_ISL_503969",1,6,23,1,12,17,1,5,"1_6_23_1_12_17_1_5"
"5","EPI_ISL_525439",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"6","EPI_ISL_525440",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"7","EPI_ISL_525441",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"8","EPI_ISL_525442",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"9","EPI_ISL_525443",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"10","EPI_ISL_525444",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"11","EPI_ISL_525445",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"12","EPI_ISL_525446",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"13","EPI_ISL_525447",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"14","EPI_ISL_525448",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"15","EPI_ISL_525449",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"16","EPI_ISL_525450",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"17","EPI_ISL_525451",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"18","EPI_ISL_525452",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"19","EPI_ISL_525453",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"20","EPI_ISL_525454",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"21","EPI_ISL_525455",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"22","EPI_ISL_525462",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"23","EPI_ISL_525463",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"24","EPI_ISL_525464",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"25","EPI_ISL_525465",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"26","EPI_ISL_591075",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"27","EPI_ISL_603132",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"28","EPI_ISL_603133",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"29","EPI_ISL_603134",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"30","EPI_ISL_603135",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"31","EPI_ISL_603136",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"32","EPI_ISL_603231",1,6,23,1,12,17,1,5,"1_6_23_1_12_17_1_5"
"33","EPI_ISL_603233",55,4,34,1,2,2,1,3,"55_4_34_1_2_2_1_3"
"34","EPI_ISL_614400",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"35","EPI_ISL_614401",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"36","EPI_ISL_615065",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"37","EPI_ISL_615068",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"38","EPI_ISL_615072",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"39","EPI_ISL_615073",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"40","EPI_ISL_623074",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"41","EPI_ISL_623075",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"42","EPI_ISL_625671",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"43","EPI_ISL_625672",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"44","EPI_ISL_631824",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"45","EPI_ISL_637098",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"46","EPI_ISL_641377",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"47","EPI_ISL_641378",6,4,2,1,3,3,1,3,"6_4_2_1_3_3_1_3"
"48","EPI_ISL_641394",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"49","EPI_ISL_641395",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"50","EPI_ISL_641518",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"51","EPI_ISL_644121",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"52","EPI_ISL_644122",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"53","EPI_ISL_644123",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"54","EPI_ISL_644124",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"55","EPI_ISL_644125",6,4,2,1,3,2,1,3,"6_4_2_1_3_2_1_3"
"56","EPI_ISL_644126",6,4,2,1,3,2,1,3,"6_4_2_1_3_2_1_3"
"57","EPI_ISL_644127",6,4,2,1,3,2,1,3,"6_4_2_1_3_2_1_3"
"58","EPI_ISL_644128",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"59","EPI_ISL_644129",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"60","EPI_ISL_644130",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"61","EPI_ISL_644132",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"62","EPI_ISL_644134",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"63","EPI_ISL_644135",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"64","EPI_ISL_644136",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"65","EPI_ISL_644138",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"66","EPI_ISL_644139",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"67","EPI_ISL_644140",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"68","EPI_ISL_644141",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"69","EPI_ISL_644142",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"70","EPI_ISL_644143",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"71","EPI_ISL_644144",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"72","EPI_ISL_644145",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"73","EPI_ISL_644146",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"74","EPI_ISL_644147",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"75","EPI_ISL_644148",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"76","EPI_ISL_644149",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"77","EPI_ISL_644150",6,4,2,1,3,2,1,3,"6_4_2_1_3_2_1_3"
"78","EPI_ISL_644151",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"79","EPI_ISL_644152",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"80","EPI_ISL_644154",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"81","EPI_ISL_644155",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"82","EPI_ISL_644156",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"83","EPI_ISL_644158",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"84","EPI_ISL_644159",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"85","EPI_ISL_644160",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"86","EPI_ISL_644161",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"87","EPI_ISL_647969",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"88","EPI_ISL_653918",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"89","EPI_ISL_653919",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"90","EPI_ISL_653920",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"91","EPI_ISL_653921",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"92","EPI_ISL_660264",6,4,2,1,3,3,1,3,"6_4_2_1_3_3_1_3"
"93","EPI_ISL_666687",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"94","EPI_ISL_666890",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"95","EPI_ISL_667810",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"96","EPI_ISL_668456",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"97","EPI_ISL_668457",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"98","EPI_ISL_684037",6,4,3,1,2,2,1,3,"6_4_3_1_2_2_1_3"
"99","EPI_ISL_693515",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"100","EPI_ISL_708701",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"101","EPI_ISL_708702",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"102","EPI_ISL_708703",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"103","EPI_ISL_708704",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"104","EPI_ISL_708705",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"105","EPI_ISL_708706",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"106","EPI_ISL_708707",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"107","EPI_ISL_708708",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"108","EPI_ISL_708709",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"109","EPI_ISL_708710",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"110","EPI_ISL_708711",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"111","EPI_ISL_708712",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"112","EPI_ISL_708713",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"113","EPI_ISL_708714",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"114","EPI_ISL_708715",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"115","EPI_ISL_708716",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"116","EPI_ISL_708717",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"117","EPI_ISL_708718",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"118","EPI_ISL_708719",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"119","EPI_ISL_708720",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"120","EPI_ISL_711055",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"121","EPI_ISL_711056",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"122","EPI_ISL_711058",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"123","EPI_ISL_711059",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"124","EPI_ISL_718106",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"125","EPI_ISL_718107",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"126","EPI_ISL_722176",6,4,2,1,3,3,1,3,"6_4_2_1_3_3_1_3"
"127","EPI_ISL_738049",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"128","EPI_ISL_738050",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"129","EPI_ISL_738051",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"130","EPI_ISL_738052",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"131","EPI_ISL_738053",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"132","EPI_ISL_738054",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"133","EPI_ISL_738055",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"134","EPI_ISL_738056",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"135","EPI_ISL_738057",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"136","EPI_ISL_738058",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"137","EPI_ISL_738059",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"138","EPI_ISL_738060",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"139","EPI_ISL_739684",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"140","EPI_ISL_739685",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"141","EPI_ISL_739686",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"142","EPI_ISL_739687",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"143","EPI_ISL_739688",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"144","EPI_ISL_739689",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"145","EPI_ISL_739690",34,6,1,1,2,2,1,3,"34_6_1_1_2_2_1_3"
"146","EPI_ISL_739691",34,6,1,1,2,2,1,3,"34_6_1_1_2_2_1_3"
"147","EPI_ISL_739692",34,6,1,1,2,2,1,3,"34_6_1_1_2_2_1_3"
"148","EPI_ISL_404993",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"149","EPI_ISL_405391",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"150","EPI_ISL_415197",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"151","EPI_ISL_417414",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"152","EPI_ISL_417415",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"153","EPI_ISL_419220",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"154","EPI_ISL_419239",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"155","EPI_ISL_419312",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"156","EPI_ISL_419314",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"157","EPI_ISL_614399",6,4,2,1,3,3,1,3,"6_4_2_1_3_3_1_3"
"158","EPI_ISL_626647",6,4,3,1,3,3,1,3,"6_4_3_1_3_3_1_3"
"159","EPI_ISL_626648",6,4,3,1,3,3,1,3,"6_4_3_1_3_3_1_3"
"160","EPI_ISL_626649",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"161","EPI_ISL_626650",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"162","EPI_ISL_626651",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"163","EPI_ISL_626652",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"164","EPI_ISL_632314",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"165","EPI_ISL_632315",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"166","EPI_ISL_632316",6,6,2,1,15,24,1,3,"6_6_2_1_15_24_1_3"
"167","EPI_ISL_632317",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"168","EPI_ISL_632318",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"169","EPI_ISL_632319",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"170","EPI_ISL_644735",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"171","EPI_ISL_644737",1,4,2,1,12,3,1,3,"1_4_2_1_12_3_1_3"
"172","EPI_ISL_644824",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"173","EPI_ISL_654821",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"174","EPI_ISL_654824",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"175","EPI_ISL_654826",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
