GISAID_isolate_id,genotype_profile,genotype_label,USDA_genotype
EPI_ISL_405813,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_410291,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_418266,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_503969,1_6_20_1_12_18_1_5,NA,NA
EPI_ISL_525439,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525440,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525441,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525442,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525443,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525444,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525445,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525446,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525447,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525448,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525449,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525450,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525451,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525452,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525453,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525454,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525455,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525462,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525463,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525464,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_525465,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_591075,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_603132,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_603133,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_603134,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_603135,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_603136,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_603231,1_6_20_1_12_18_1_5,NA,NA
EPI_ISL_603233,46_4_34_1_2_2_1_3,NA,Notassigned
EPI_ISL_614400,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_614401,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_615065,6_4_3_1_3_2_1_3,H5N8/2020/R2,NA
EPI_ISL_615068,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_615072,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_615073,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_623074,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_623075,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_625671,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_625672,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_631824,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_637098,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_641377,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_641378,6_4_2_1_3_4_1_3,H5N5/2020/R1,Notassigned
EPI_ISL_641394,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_641395,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_641518,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644121,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644122,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644123,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644124,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644125,6_4_2_1_3_2_1_3,NA,Notassigned
EPI_ISL_644126,6_4_2_1_3_2_1_3,NA,Notassigned
EPI_ISL_644127,6_4_2_1_3_2_1_3,NA,Notassigned
EPI_ISL_644128,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644129,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644130,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644132,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644134,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644135,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644136,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644138,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644139,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644140,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644141,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644142,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644143,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644144,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644145,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644146,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644147,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644148,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644149,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644150,6_4_2_1_3_2_1_3,NA,Notassigned
EPI_ISL_644151,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644152,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644154,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644155,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644156,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644158,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644159,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644160,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
